0|1.4991499E7|0|567|661.40|375117.12
1|1.49915E7|1|601|275.27|165442.89
2|1.4991501E7|2|843|338.43|285618.31
3|1.4991502E7|3|423|923.01|390460.66
4|1.4991503E7|4|424|862.29|366151.53
5|1.4991504E7|5|99|28.64|2850.46
6|1.4991505E7|6|561|544.24|305651.01
7|1.4991506E7|7|972|717.62|698228.44
8|1.4991507E7|8|100|252.17|25407.78
9|1.4991508E7|9|712|618.97|440931.92
10|1.4991509E7|10|4|921.31|4277.48
11|1.499151E7|11|666|347.65|231790.68
12|1.4991511E7|12|625|649.86|406562.44
13|1.4991512E7|13|390|601.99|235281.48
14|1.4991513E7|14|410|441.31|181267.49
15|1.4991514E7|15|282|17.84|5041.28
16|1.4991515E7|16|626|899.59|563428.22
17|1.4991516E7|17|947|173.99|164909.55
18|1.4991517E7|18|724|120.60|87360.19
19|1.4991518E7|19|799|494.25|395238.07
20|1.4991519E7|20|970|204.08|198085.33
21|1.499152E7|21|532|726.45|386942.86
22|1.4991521E7|22|340|878.88|299668.71
23|1.4991522E7|23|2|759.89|1720.07
24|1.4991523E7|24|370|924.65|342427.39
25|1.4991524E7|25|578|959.32|555284.82
26|1.4991525E7|26|450|661.20|297914.86
27|1.4991526E7|27|686|709.62|487344.38
28|1.4991527E7|28|473|742.12|351497.35
29|1.4991528E7|29|298|789.12|235883.96
30|1.4991529E7|30|878|569.85|500379.61
31|1.499153E7|31|126|440.86|55592.49
32|1.4991531E7|32|983|206.61|203290.32
33|1.4991532E7|33|140|339.37|47680.29
34|1.4991533E7|34|306|45.63|13994.75
35|1.4991534E7|35|783|128.64|100795.05
36|1.4991535E7|36|316|329.38|104265.17
37|1.4991536E7|37|622|948.64|590127.84
38|1.4991537E7|38|614|454.79|279426.22
39|1.4991538E7|39|457|152.18|69570.49
40|1.4991539E7|40|459|833.03|382453.90
41|1.499154E7|41|946|92.85|87852.03
42|1.4991541E7|42|235|174.12|41003.69
43|1.4991542E7|43|673|361.74|243579.83
44|1.4991543E7|44|533|14.85|7925.89
45|1.4991544E7|45|291|138.76|40382.90
46|1.4991545E7|46|631|564.73|356588.88
